,animal_id,movement_type,time,bug_speed,bug_type,bug_size,strike_id,exit_hole,strike_x,strike_y,arena,trial_id,proj_strike,is_hit,miss_distance,proj_bug_x,day,proj_strike_x,proj_strike_y
661,PV42,jump_up,2023-05-16 18:02:50.586,4.005370245989433,cockroach,141,2846,left,1053.0,792.0,msi-regev,11128,"[-59.999999999999886, 5.0]",True,1.0755903490952492,-139.9999999999999,2023-05-16,-1.071874999999998,5.0
663,PV42,jump_up,2023-05-17 13:03:21.739,4.131911321734166,cockroach,158,2849,left,619.0,818.0,msi-regev,11211,"[-54.0, -21.0]",True,1.035067236738905,-60.0,2023-05-17,-0.9646875,-21.0
664,PV42,jump_up,2023-05-17 13:01:58.991,4.1076098571206625,cockroach,147,2848,left,398.0,794.0,msi-regev,11208,"[-57.0, 3.0]",True,1.0196906364876677,-64.0,2023-05-17,-1.01828125,3.0
666,PV42,jump_up,2023-05-17 17:04:14.186,4.175289162008024,cockroach,143,2853,left,745.0,797.0,msi-regev,11253,"[-52.0, 0.0]",True,0.9289583333333333,-64.0,2023-05-17,-0.9289583333333333,0.0
668,PV42,jump_up,2023-05-18 13:01:58.096,4.212127555623706,cockroach,148,2856,left,653.0,794.0,msi-regev,11276,"[-76.0, 3.0]",True,1.3587656929882503,-224.0,2023-05-18,-1.3577083333333333,3.0
670,PV42,jump_up,2023-05-18 16:03:46.238,4.196770619268498,cockroach,147,2863,left,874.0,791.0,msi-regev,11309,"[-77.0, 6.0]",True,1.379742732984338,-44.0,2023-05-18,-1.3755729166666666,6.0
671,PV42,jump_up,2023-05-18 18:01:31.819,4.213583603091176,cockroach,154,2867,left,505.0,797.0,msi-regev,11324,"[-72.0, 1.1368683772161603e-13]",True,1.28625,-68.0,2023-05-18,-1.28625,1.1368683772161603e-13
672,PV42,jump_up,2023-05-20 12:03:57.318,4.187453515701206,cockroach,146,2872,left,560.0,790.0,msi-regev,11422,"[-91.0, 7.0]",True,1.6304796848845373,-260.0,2023-05-20,-1.6256770833333334,7.0
677,PV91,jump_up,2023-05-19 15:32:32.197,5.1587934095125165,cockroach,100,2900,left,1117.0,600.0,reptilearn4,11499,"[-154.68421670148416, -3.713906763541104]",False,4.247305422559108,-161.55494421403512,2023-05-19,-4.24608174845574,-3.713906763541104
678,PV91,jump_up,2023-05-19 11:20:05.355,5.0913413973994,cockroach,100,2880,left,412.0,215.0,reptilearn4,11486,"[-59.35547654272918, 11.020927200083918]",True,1.6571557115486983,-44.000000000000306,2023-05-19,-1.6293078310979159,11.020927200083918
686,PV91,jump_up,2023-05-19 16:32:05.715,4.624673147804226,cockroach,100,2905,left,1283.0,754.0,reptilearn4,11503,"[-150.29411764705878, -34.82352941176475]",False,4.2348687113652055,-170.0,2023-05-19,-4.1255735294117635,-34.82352941176475
687,PV42,jump_up,2023-05-20 12:01:12.403,4.120358404763284,cockroach,156,2871,left,1283.0,798.0,msi-regev,11416,"[-62.0, -1.0]",True,1.1791978299860983,-40.0,2023-05-20,-1.1076041666666667,-1.0
689,PV91,jump_up,2023-05-19 16:32:06.530,4.656777375583171,cockroach,100,2906,left,1084.0,603.0,reptilearn4,11503,"[-33.0, 2.0]",True,1.0171327015193248,-52.0,2023-05-19,-0.9058499999999999,2.0
693,PV42,jump_up,2023-05-20 13:01:12.332,4.0916813519315705,cockroach,153,2873,left,1309.0,791.0,msi-regev,11484,"[-60.0, 6.0]",True,1.0772210431388953,-56.0,2023-05-20,-1.071875,6.0
694,PV42,jump_up,2023-05-20 15:03:59.783,4.1916672080119,cockroach,150,2876,left,461.0,797.0,msi-regev,11450,"[-68.0, 0.0]",True,1.2147916666666667,-76.0,2023-05-20,-1.2147916666666667,0.0
695,PV42,jump_up,2023-05-20 15:01:43.730,4.210432391857861,cockroach,159,2877,left,333.0,796.0,msi-regev,11447,"[-52.0, 1.0]",True,0.9291300922944634,-76.0,2023-05-20,-0.9289583333333333,1.0
699,PV91,jump_up,2023-05-19 15:31:49.996,4.6297434986563735,cockroach,100,2897,left,1075.0,601.0,reptilearn4,11497,"[-67.99999999999989, 4.0]",False,1.8698266229787188,-63.999999999999886,2023-05-19,-1.8665999999999967,4.0
700,PV42,jump_up,2023-05-19 13:04:26.550,4.166964541472492,cockroach,150,2870,left,472.0,792.0,msi-regev,11362,"[-87.0, 5.000000000000114]",True,1.5567833845122458,-60.0,2023-05-19,-1.55421875,5.000000000000114
702,PV91,jump_up,2023-05-19 18:32:06.538,4.711208510309993,cockroach,100,2910,left,1112.0,763.0,reptilearn4,11513,"[-17.0, -158.0]",False,4.36213234926452,-60.0,2023-05-19,-0.46664999999999995,-158.0
704,PV42,jump_up,2023-05-24 14:02:13.558,4.097811939655986,cockroach,142,3104,left,1250.0,791.0,msi-regev,11988,"[-61.0, 6.0]",True,1.1661345384762674,-48.0,2023-05-24,-1.0897395833333332,6.0
705,PV91,jump_up,2023-05-20 12:31:27.221,3.9425812344742894,cockroach,100,2925,left,442.0,885.0,reptilearn4,11523,"[526.3142899131352, 102.96148899337709]",False,14.721181892304523,-56.23362701651868,2023-05-20,14.44732725811556,102.96148899337709
707,PV91,jump_up,2023-05-19 18:32:07.271,4.602806452332213,cockroach,100,2911,left,971.0,597.0,reptilearn4,11513,"[-52.0, 8.0]",True,1.4441935188886563,-60.0,2023-05-19,-1.4274,8.0
710,PV91,jump_up,2023-05-20 11:31:06.621,4.200906169280281,cockroach,100,2915,left,442.0,814.0,reptilearn4,11517,"[-343.00000000000006, -209.0]",False,11.119452559591233,-40.000000000000014,2023-05-20,-9.415350000000002,-209.0
711,PV91,jump_up,2023-05-20 12:31:01.368,4.6938272269339745,cockroach,100,2924,left,1169.0,746.0,reptilearn4,11522,"[-149.3106559517737, -9.34494618770043]",False,4.106597064784904,-163.0828010551695,2023-05-20,-4.098577505876188,-9.34494618770043
729,PV42,jump_up,2023-05-24 15:02:12.031,3.736653328870799,cockroach,145,3105,left,673.0,442.0,msi-regev,11997,"[808.0, 354.99999999999983]",False,15.766332329913043,-44.0,2023-05-24,14.434583333333332,354.99999999999983
731,PV91,jump_up,2023-05-20 11:31:06.656,4.201316082936726,cockroach,100,2920,left,442.0,814.0,reptilearn4,11517,"[-359.00000000000006, -209.0]",False,11.308134031085764,-56.000000000000014,2023-05-20,-9.854550000000001,-209.0
735,PV91,jump_up,2023-05-19 18:32:56.840,4.920681370844928,cockroach,100,2913,left,949.0,595.0,reptilearn4,11515,"[-148.94117647058818, -18.235294117647072]",False,4.118963739825832,-170.0,2023-05-19,-4.088435294117645,-18.235294117647072
736,PV42,jump_up,2023-05-24 15:02:39.950,3.8488369183157665,cockroach,157,3106,left,1430.0,790.0,msi-regev,11998,"[-73.0, 7.000000000000114]",True,1.3100965117153318,-60.0,2023-05-24,-1.3041145833333334,7.000000000000114
739,PV91,jump_up,2023-05-22 09:31:05.445,4.629489150859076,cockroach,100,2998,left,1051.0,606.0,reptilearn4,11670,"[-51.999999999999886, -1.0]",True,1.4276639179092536,-39.999999999999886,2023-05-22,-1.427399999999997,-1.0
740,PV42,jump_up,2023-05-21 09:02:35.072,4.1813124557435275,cockroach,158,2971,left,971.0,788.0,msi-regev,11567,"[-86.0, 9.0]",True,1.5447442298923113,-48.0,2023-05-21,-1.5363541666666667,9.0
741,PV42,jump_up,2023-05-21 11:01:43.981,4.189938641562328,cockroach,146,2972,left,407.0,790.0,msi-regev,11586,"[-98.0, 7.0]",False,1.7551896303714216,-76.0,2023-05-21,-1.7507291666666667,7.0
742,PV42,jump_up,2023-05-21 12:03:01.416,4.2119482183987484,cockroach,148,2975,left,750.0,796.0,msi-regev,11598,"[-73.0, 1.0]",True,1.3042369377533927,-64.0,2023-05-21,-1.3041145833333334,1.0
743,PV42,jump_up,2023-05-21 12:05:21.527,4.200423666746721,cockroach,148,2977,left,431.0,798.0,msi-regev,11603,"[-74.0, -1.0]",True,1.3220998678006015,-80.0,2023-05-21,-1.3219791666666667,-1.0
744,PV42,jump_up,2023-05-21 13:04:51.260,4.193827273616858,cockroach,144,2979,left,841.0,821.0,msi-regev,11612,"[-68.0, -24.0]",True,1.2882334244626545,-44.0,2023-05-21,-1.2147916666666667,-24.0
748,PV42,jump_up,2023-05-21 09:02:08.313,4.179259279564185,cockroach,152,2984,left,1141.0,787.0,msi-regev,11566,"[-80.0, 10.0]",True,1.440288753992918,-156.0,2023-05-21,-1.4291666666666667,10.0
750,PV42,jump_up,2023-05-21 13:03:05.912,4.175775950415554,cockroach,147,2987,left,352.0,799.0,msi-regev,11609,"[-59.0, -2.0]",True,1.0546158218956012,-52.0,2023-05-21,-1.0540104166666666,-2.0
751,PV91,jump_up,2023-05-22 09:31:45.746,4.673189445137261,cockroach,100,3000,left,1136.0,597.0,reptilearn4,11671,"[-37.0, 8.0]",True,1.0391193783680488,-44.0,2023-05-22,-1.01565,8.0
752,PV91,jump_up,2023-05-21 12:32:20.039,5.043981340480425,cockroach,100,2964,left,687.0,621.0,reptilearn4,11553,"[-168.6929945134632, -32.166342690468014]",False,4.714053004581089,-166.38509548634454,2023-05-21,-4.630622699394564,-32.166342690468014
758,PV42,jump_up,2023-05-21 11:02:10.276,4.173213896511601,cockroach,145,2973,left,608.0,817.0,msi-regev,11587,"[-51.0, -20.0]",True,1.0454979347335498,-44.0,2023-05-21,-0.91109375,-20.0
764,PV91,jump_up,2023-05-21 12:32:24.923,4.763376873063097,cockroach,100,2965,left,491.0,227.0,reptilearn4,11553,"[-55.12427270867346, 4.861363826805274]",True,1.5190340663668602,-60.00000000000034,2023-05-21,-1.5131612858530863,4.861363826805274
